  I     	  II     	  LV     	  LV'		
-108.64   	-28.38   	 16.24   	 203.46		
-130.92   	-34.48   	 17.05   	 254.32		
-143.13   	-24.41   	 18.07   	 325.53		
-141.91   	-10.99   	 19.37   	 386.57		
-129.39   	 -4.58   	 20.92   	 467.95		
-115.05   	 -4.88   	 22.79   	 534.08		
-112.92   	 -6.41   	 24.92   	 610.37		
-130.62   	 -6.41   	 27.37   	 676.50		
-156.86   	 -3.97   	 30.07   	 742.62		
-170.59   	 -1.22   	 33.04   	 803.66		
-161.13   	  0.00   	 36.26   	 859.61		
-136.72   	  0.92   	 39.69   	 895.22		
-118.10   	  3.05   	 43.28   	 920.65		
-117.19   	  6.41   	 46.96   	 930.82		
-119.93   	  7.63   	 50.68   	 915.56		
-105.90   	  5.49   	 54.34   	 885.04		
-76.90   	  2.44   	 57.88   	 829.09		
-59.20   	  3.05   	 61.20   	 762.97		
-77.82   	 10.07   	 64.25   	 696.84		
-128.48   	 20.14   	 67.04   	 615.46		
-175.78   	 26.86   	 69.50   	 554.42		
-183.11   	 27.16   	 71.72   	 498.47		
-146.79   	 23.80   	 73.71   	 457.78		
-96.13   	 20.75   	 75.54   	 437.43		
-67.14   	 21.06   	 77.29   	 427.26		
-67.14   	 23.50   	 79.00   	 422.18		
-73.55   	 25.94   	 80.69   	 422.18		
-68.66   	 27.77   	 82.38   	 432.35		
-57.68   	 28.99   	 84.11   	 427.26		
