  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-31.43   	-92.47   	180.43   	-793.49		191.25   	-249.24		
-30.52   	-93.69   	177.25   	-890.13		190.25   	-289.93		
-28.69   	-95.52   	173.69   	-976.60		189.09   	-325.53		
-27.47   	-98.57   	169.79   	-1078.33		187.79   	-361.14		
-28.69   	-103.15   	165.47   	-1169.88		186.35   	-396.74		
-32.35   	-107.42   	160.79   	-1266.53		184.76   	-432.35		
-37.23   	-110.17   	155.73   	-1353.00		183.03   	-462.87		
-40.28   	-110.17   	150.31   	-1419.12		181.18   	-488.30		
-39.67   	-107.73   	144.64   	-1475.07		179.23   	-513.73		
-35.40   	-103.45   	138.74   	-1515.76		177.17   	-528.99		
-30.21   	-98.27   	132.67   	-1546.28		175.06   	-539.16		
-27.77   	-94.30   	126.49   	-1571.71		172.90   	-554.42		
-29.30   	-93.08   	120.20   	-1586.97		170.68   	-559.51		
-33.57   	-94.60   	113.86   	-1586.97		168.44   	-564.60		
-37.84   	-97.96   	107.51   	-1571.71		166.18   	-559.51		
-39.67   	-101.32   	101.22   	-1551.37		163.95   	-554.42		
-39.06   	-101.62   	 95.01   	-1525.93		161.73   	-544.25		
-36.62   	-99.49   	 88.91   	-1490.33		159.55   	-539.16		
-34.48   	-96.74   	 82.95   	-1449.64		157.40   	-523.90		
-33.87   	-95.21   	 77.15   	-1403.86		155.30   	-513.73		
-34.48   	-95.52   	 71.54   	-1358.08		153.24   	-493.39		
-35.10   	-96.44   	 66.10   	-1286.87		151.27   	-483.21		
-35.40   	-95.83   	 60.96   	-1215.66		149.34   	-462.87		
-34.79   	-92.47   	 56.09   	-1134.28		147.49   	-447.61		
-33.26   	-88.81   	 51.56   	-1052.90		145.70   	-432.35		
-31.43   	-86.98   	 47.34   	-971.51		143.97   	-412.00		
-29.30   	-86.36   	 43.46   	-895.22		142.32   	-396.74		
-27.16   	-83.92   	 39.88   	-818.92		140.73   	-381.48		
-25.63   	-75.38   	 36.60   	-742.62		139.21   	-361.14		
-25.02   	-58.59   	 33.63   	-666.32		137.76   	-345.88		
-25.02   	-36.62   	 30.97   	-605.29		136.38   	-335.71		
-24.11   	-14.04   	 28.55   	-539.16		135.04   	-320.45		
-22.89   	  3.97   	 26.39   	-483.21		133.75   	-305.19		
-21.67   	 15.56   	 24.46   	-432.35		132.53   	-295.01		
