  I     	  II     	  AO     	  AO'		  AO     	  AO'		
385.74   	1170.04   	 78.07   	 -71.21		 81.10   	 -55.95		
318.30   	799.26   	 77.78   	 -66.12		 80.87   	 -61.04		
213.01   	407.71   	 77.52   	 -66.12		 80.63   	 -55.95		
122.07   	119.02   	 77.25   	 -61.04		 80.41   	 -61.04		
 88.20   	-140.69   	 77.01   	 -61.04		 80.16   	 -55.95		
139.77   	-145.87   	 76.76   	 -55.95		 79.94   	 -61.04		
211.18   	-121.77   	 76.54   	 -55.95		 79.69   	 -61.04		
202.64   	-179.14   	 76.32   	 -45.78		 79.45   	 -61.04		
146.79   	-103.45   	 76.13   	 -50.86		 79.21   	 -61.04		
 83.92   	-78.74   	 75.93   	 -45.78		 78.96   	 -61.04		
 24.11   	-40.89   	 75.75   	 -45.78		 78.72   	 -55.95		
 -5.80   	  9.16   	 75.56   	 -45.78		 78.49   	 -61.04		
-16.78   	 33.26   	 75.38   	 -40.69		 78.25   	 -61.04		
 -8.85   	 43.95   	 75.22   	 -45.78		 78.01   	 -55.95		
-10.07   	 27.77   	 75.04   	 -45.78		 77.78   	 -61.04		
-10.07   	 33.57   	 74.85   	 -40.69		 77.54   	 -55.95		
 -7.02   	 31.43   	 74.69   	 -35.61		 77.31   	 -55.95		
 -9.46   	 32.65   	 74.55   	 -30.52		 77.09   	 -55.95		
-16.78   	 29.60   	 74.42   	 -15.26		 76.87   	 -50.86		
-10.99   	 34.48   	 74.36(D)	   0.00		 76.66   	 -55.95		
-13.73   	 39.06   	 74.36   	  35.61		 76.44   	 -50.86		
-10.68   	 36.01   	 74.51   	  71.21		 76.24   	 -45.78		
-10.99   	 35.40   	 74.79   	 111.90		 76.05   	 -45.78		
-14.34   	 39.37   	 75.24   	 162.77		 75.87   	 -35.61		
 -9.77   	 37.54   	 75.89   	 208.54		 75.73   	 -35.61		
-11.60   	 35.71   	 76.72   	 249.24		 75.58   	 -25.43		
-10.99   	 34.18   	 77.72   	 289.93		 75.48   	 -15.26		
-18.31   	 36.93   	 78.88   	 310.27		 75.42   	  -5.09		
-19.23   	 37.23   	 80.12   	 325.53		 75.40(D)	   5.09		
-13.43   	 36.32   	 81.42   	 325.53		 75.42   	  25.43		
-20.75   	 35.40   	 82.73   	 325.53		 75.52   	  40.69		
-21.06   	 36.93   	 84.03   	 310.27		 75.69   	  61.04		
-16.48   	 36.32   	 85.27   	 300.10		 75.93   	  76.30		
-18.62   	 37.23   	 86.47   	 279.75		 76.24   	  96.64		
-23.50   	 38.15   	 87.59   	 269.58		 76.62   	 122.07		
-16.78   	 38.45   	 88.67   	 269.58		 77.11   	 142.42		
-16.78   	 35.71   	 89.75   	 264.50		 77.68   	 162.77		
-19.84   	 31.43   	 90.80   	 274.67		 78.33   	 178.03		
-14.95   	 32.96   	 91.90   	 279.75		 79.04   	 203.46		
-21.67   	 30.82   	 93.02   	 295.01		 79.86   	 218.72		
-23.50   	 31.43   	 94.20   	 310.27		 80.73   	 233.98		
-23.19   	 32.65   	 95.44   	 325.53		 81.67   	 249.24		
-24.11   	 29.60   	 96.74   	 330.62		 82.66   	 264.50		
-23.19   	 31.13   	 98.07   	 330.62		 83.72   	 279.75		
