  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-55.24   	-83.01   	144.35   	 793.49		 93.29   	-686.67		
-57.98   	-87.59   	147.53   	 737.54		 90.54   	  20.35		
-53.41   	-79.65   	150.48   	 696.84		 90.62   	 147.51		
-51.27   	-75.07   	153.26   	 661.24		 91.21   	-132.25		
-49.13   	-72.94   	155.91   	 635.81		 90.68   	 488.30		
-46.69   	-62.26   	158.45   	 605.29		 92.63   	 808.75		
-46.08   	-58.29   	160.87   	 579.86		 95.87   	 228.89		
-38.76   	-54.02   	163.19   	 554.42		 96.78   	-320.45		
-31.74   	-49.13   	165.41   	 503.56		 95.50   	 584.94		
-21.06   	-46.69   	167.43   	 457.78		 97.84   	1169.88		
-10.99   	-35.10   	169.26   	 401.83		102.52   	-259.41		
 -4.88   	-16.78   	170.86   	 335.71		101.48   	-579.86		
 -0.61   	 -4.58   	172.21   	 279.75		 99.17   	 244.15		
  8.24   	 16.48   	173.33   	 223.80		100.14   	 152.59		
 20.75   	 28.08   	174.22   	 183.11		100.75   	 127.16		
 28.69   	 35.71   	174.95   	 157.68		101.26   	 523.90		
 41.81   	 48.52   	175.58   	 137.33		103.36   	 579.86		
 49.13   	 57.98   	176.13   	 127.16		105.68   	 671.41		
 59.51   	 72.02   	176.64   	 106.82		108.36   	 824.00		
 67.75   	 81.79   	177.07   	  81.38		111.66   	 595.11		
 73.55   	 89.72   	177.40   	  40.69		114.04   	 132.25		
 83.01   	101.93   	177.56(S)	   0.00		114.57   	-584.94		
 82.70   	108.64   	177.56   	 -45.78		112.23   	-951.17		
 84.23   	111.39   	177.37   	 -96.64		108.42   	-279.75		
 86.67   	115.36   	176.99   	-142.42		107.30   	 381.48		
 86.06   	114.14   	176.42   	-178.03		108.83   	 523.90		
 83.01   	109.56   	175.71   	-213.63		110.93   	 457.78		
 83.31   	110.78   	174.85   	-244.15		112.76   	  45.78		
 77.82   	105.59   	173.88   	-259.41		112.94   	-325.53		
 67.14   	 89.72   	172.84   	-279.75		111.64   	-142.42		
 59.81   	 75.99   	171.72   	-295.01		111.07   	 300.10		
