  I     	  II     	  AOp     	  AOp'		
 58.29   	 90.33   	 87.91   	-111.90		
 39.98   	 82.40   	 87.47   	-111.90		
 15.56   	 61.34   	 87.02   	-111.90		
  0.00   	 36.01   	 86.57   	-106.82		
  4.58   	 18.01   	 86.14   	-106.82		
 26.25   	 13.73   	 85.72   	-101.73		
 53.71   	 18.62   	 85.31   	-106.82		
 72.63   	 22.58   	 84.88   	-101.73		
 74.16   	 16.78   	 84.48   	 -96.64		
 59.51   	  1.53   	 84.09   	 -96.64		
 36.32   	-17.70   	 83.70   	 -91.56		
 12.21   	-35.10   	 83.34   	 -91.56		
 -8.85   	-49.44   	 82.97   	 -91.56		
-27.16   	-62.87   	 82.60   	 -81.38		
-43.33   	-77.51   	 82.28   	 -86.47		
-57.07   	-90.94   	 81.93   	 -81.38		
-65.00   	-100.40   	 81.61   	 -76.30		
-65.61   	-104.06   	 81.30   	 -81.38		
-61.34   	-104.68   	 80.98   	 -76.30		
-57.37   	-105.59   	 80.67   	 -76.30		
-56.76   	-107.12   	 80.37   	 -76.30		
-57.37   	-105.90   	 80.06   	 -81.38		
-50.96   	-96.13   	 79.74   	 -76.30		
-28.99   	-72.02   	 79.43   	 -81.38		
 10.38   	-33.87   	 79.10   	 -76.30		
 54.63   	 10.38   	 78.80   	 -81.38		
 85.14   	 54.02   	 78.47   	 -81.38		
 91.25   	 99.18   	 78.15   	 -76.30		
 81.79   	161.74   	 77.84   	 -76.30		
 85.75   	260.31   	 77.54   	 -76.30		
136.72   	401.00   	 77.23   	 -76.30		
249.94   	569.76   	 76.93   	 -71.21		
414.12   	738.83   	 76.64   	 -71.21		
597.23   	885.01   	 76.36   	 -71.21		
760.50   	993.96   	 76.07   	 -71.21		
872.19   	1050.72(R)	 75.79   	 -71.21		
912.17   	1036.07   	 75.50   	 -71.21		
876.16   	936.89   	 75.22   	 -66.12		
777.59   	766.60   	 74.95   	 -71.21		
642.09   	570.37   	 74.67   	 -66.12		
494.69   	402.22   	 74.40   	 -66.12		
351.87   	289.31   	 74.14   	 -66.12		
220.95   	219.42   	 73.88   	 -66.12		
107.12   	157.47   	 73.61   	 -66.12		
 20.14   	 80.57   	 73.35   	 -66.12		
-30.52   	 -3.66   	 73.08   	 -61.04		
-47.61   	-70.80   	 72.84   	 -61.04		
-48.22   	-106.81   	 72.59   	 -61.04		
-51.27   	-117.80   	 72.35   	 -55.95		
-66.53   	-122.07   	 72.13   	 -61.04		
-89.11   	-132.75   	 71.88   	 -50.86		
-107.12   	-148.93   	 71.68   	 -45.78		
-112.30   	-161.44   	 71.50   	 -40.69		
-106.81   	-164.49   	 71.33   	 -25.43		
-97.66   	-159.91   	 71.23   	  -5.09		
-92.77   	-155.03   	 71.21(D)	  10.17		
-94.60   	-154.42   	 71.25   	  40.69		
-101.93   	-158.08   	 71.41   	  71.21		
-110.17   	-162.96   	 71.70   	 106.82		
-116.27   	-165.41   	 72.13   	 147.51		
-116.88   	-163.27   	 72.72   	 188.20		
-111.08   	-156.25   	 73.47   	 228.89		
-100.40   	-147.09   	 74.38   	 274.67		
-90.33   	-139.47   	 75.48   	 315.36		
-85.14   	-136.11   	 76.74   	 350.97		
-87.89   	-137.33   	 78.15   	 391.66		
-96.44   	-140.08   	 79.71   	 412.00		
-103.45   	-140.38   	 81.36   	 442.52		
-104.68   	-137.33   	 83.13   	 462.87		
-101.01   	-133.06   	 84.98   	 473.04		
-96.74   	-129.39   	 86.88   	 483.21		
