  I     	  II     	  LVp     	  LVp'		
-68.36   	-109.86   	  7.43   	 -20.35		
-76.60   	-115.66   	  7.34   	 -20.35		
-72.94   	-110.78   	  7.26   	 -15.26		
-62.26   	-100.40   	  7.20   	 -15.26		
-53.71   	-92.77   	  7.14   	 -10.17		
-51.88   	-91.55   	  7.10   	  -5.09		
-54.32   	-94.30   	  7.08   	  -5.09		
-55.85   	-96.13   	  7.06   	   0.00		
-54.93   	-94.60   	  7.06   	   0.00		
-53.10   	-91.86   	  7.06   	   0.00		
-53.41   	-90.33   	  7.06   	   5.09		
-55.54   	-90.94   	  7.08   	  10.17		
-57.07   	-92.16   	  7.12   	   5.09		
-56.15   	-91.55   	  7.14   	  10.17		
-53.41   	-88.81   	  7.18   	  15.26		
-50.35   	-83.01   	  7.24   	  10.17		
-47.00   	-71.41   	  7.28   	  15.26		
-41.81   	-52.19   	  7.34   	  15.26		
-34.79   	-25.94   	  7.41   	  15.26		
-28.08   	  1.83   	  7.47   	  20.35		
-24.72   	 22.89   	  7.55   	  15.26		
-26.86   	 32.96   	  7.61   	  20.35		
-32.35   	 35.10   	  7.69   	  15.26		
-36.32   	 36.93   	  7.75   	  20.35		
-34.79   	 46.08   	  7.83   	  20.35		
-27.47   	 61.95   	  7.91   	  20.35		
-18.31   	 79.04   	  8.00   	  20.35		
-12.21   	 91.25   	  8.08   	  20.35		
-10.38   	 97.35   	  8.16   	  20.35		
-10.07   	 99.79   	  8.24   	  20.35		
 -7.32   	101.01   	  8.32   	  20.35		
 -0.92   	100.71   	  8.40   	  15.26		
  5.49   	 94.60   	  8.46   	  20.35		
  7.32   	 80.26   	  8.55   	  15.26		
  1.53   	 58.90   	  8.61   	  10.17		
-11.29   	 32.35   	  8.65   	  15.26		
-27.77   	  1.53   	  8.71   	  10.17		
-43.95   	-32.65   	  8.75   	   5.09		
-56.76   	-68.05   	  8.77   	   5.09		
-65.00   	-99.79   	  8.79   	  10.17		
-68.66   	-122.38   	  8.83   	   5.09		
-68.66   	-134.28   	  8.85   	   5.09		
-65.92   	-137.02   	  8.87   	  10.17		
-61.34   	-135.19   	  8.91   	  15.26		
-57.07   	-133.36   	  8.97   	  15.26		
-55.54   	-135.19   	  9.03   	  15.26		
-58.90   	-141.60   	  9.09   	  15.26		
-67.75   	-152.28   	  9.16   	  20.35		
-78.13   	-163.27   	  9.24   	  15.26		
-84.53   	-169.98   	  9.30   	  15.26		
-83.01   	-169.68   	  9.36   	  10.17		
-76.29   	-164.18   	  9.40   	  10.17		
-69.89   	-157.78   	  9.44   	  10.17		
-67.44   	-153.50   	  9.48   	   5.09		
-68.05   	-151.37   	  9.50   	   0.00		
-68.66   	-149.54   	  9.50   	   5.09		
-66.83   	-147.40   	  9.52   	  10.17		
-65.31   	-145.87   	  9.56   	   5.09		
-67.14   	-148.32   	  9.58   	  10.17		
-74.77   	-155.94   	  9.62   	  15.26		
-85.45   	-169.37   	  9.68   	  20.35		
-91.25   	-184.94   	  9.77   	  20.35		
-79.96   	-194.70   	  9.85   	  25.43		
-41.50   	-185.24   	  9.95   	  30.52		
 27.16   	-141.91   	 10.07   	  30.52		
119.63   	-52.80   	 10.19   	  35.61		
215.45   	 81.18   	 10.34   	  40.69		
290.83   	240.17   	 10.50   	  50.86		
322.57   	384.83   	 10.70   	  50.86		
295.41   	465.39(R)	 10.91   	  61.04		
207.21   	442.50   	 11.15   	  61.04		
 74.46   	312.81   	 11.39   	  66.12		
-68.97   	118.41   	 11.66   	  71.21		
-181.88   	-70.19   	 11.94   	  76.30		
-231.93   	-190.43   	 12.25   	  81.38		
-216.37   	-221.25   	 12.57   	  91.56		
-161.44   	-188.90   	 12.94   	  96.64		
-105.90   	-140.38   	 13.33   	 111.90		
-74.77   	-111.39   	 13.77   	 132.25		
-69.58   	-110.17   	 14.30   	 152.59		
-75.07   	-122.68   	 14.91   	 193.29		
-76.29   	-129.70   	 15.69   	 233.98		
-68.97   	-125.43   	 16.62   	 284.84		
-60.42   	-115.97   	 17.76   	 340.79		
-57.68   	-111.39   	 19.13   	 401.83		
-62.56   	-116.27   	 20.73   	 473.04		
-70.50   	-126.95   	 22.62   	 539.16		
-75.99   	-135.19   	 24.78   	 605.29		
-75.07   	-134.58   	 27.20   	 666.32		
-69.27   	-126.04   	 29.87   	 722.28		
-62.87   	-115.05   	 32.76   	 768.05		
-58.90   	-107.73   	 35.83   	 808.75		
-57.37   	-105.29   	 39.06   	 829.09		
-55.54   	-104.37   	 42.38   	 849.44		
-51.88   	-101.32   	 45.78   	 849.44		
-47.61   	-95.21   	 49.18   	 849.44		
-44.86   	-87.89   	 52.57   	 834.18		
-45.17   	-82.09   	 55.91   	 818.92		
-47.30   	-78.74   	 59.19   	 788.40		
-47.61   	-76.29   	 62.34   	 762.97		
-44.86   	-74.16   	 65.39   	 737.54		
-40.28   	-71.41   	 68.34   	 701.93		
-36.32   	-68.36   	 71.15   	 666.32		
-33.57   	-65.00   	 73.81   	 640.89		
-32.04   	-61.34   	 76.38   	 605.29		
-29.60   	-56.46   	 78.80   	 579.86		
-26.25   	-50.05   	 81.12   	 544.25		
-21.36   	-43.03   	 83.30   	 523.90		
-16.78   	-36.32   	 85.39   	 493.39		
-12.82   	-30.52   	 87.36   	 467.95		
 -9.77   	-26.25   	 89.24   	 447.61		
 -7.32   	-22.28   	 91.03   	 427.26		
 -5.19   	-18.01   	 92.74   	 406.92		
 -2.75   	-12.51   	 94.36   	 396.74		
  1.22   	 -3.97   	 95.95   	 376.40		
  7.32   	  7.02   	 97.46   	 371.31		
 14.65   	 18.62   	 98.94   	 356.05		
 21.97   	 29.30   	100.37   	 345.88		
 29.91   	 39.67   	101.75   	 335.71		
 38.15   	 50.35   	103.09   	 325.53		
 44.86   	 60.12   	104.39   	 320.45		
 47.61   	 66.83   	105.68   	 310.27		
 45.17   	 67.75   	106.92   	 300.10		
 39.37   	 64.09   	108.12   	 289.93		
 35.10   	 61.65   	109.28   	 274.67		
 36.32   	 64.39   	110.38   	 269.58		
 42.42   	 72.33   	111.45   	 254.32		
 49.13   	 80.57   	112.47   	 244.15		
 52.49   	 84.53   	113.45   	 228.89		
 51.57   	 83.31   	114.36   	 218.72		
