  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
 20.14   	-300.29   	 95.22   	-137.33		103.78   	  96.64		
 14.34   	-251.46   	 94.67   	-162.77		104.17   	  71.21		
  8.85   	-205.08   	 94.02   	-188.20		104.46   	  50.86		
  3.66   	-161.13   	 93.27   	-218.72		104.66   	  30.52		
 -0.61   	-120.54   	 92.39   	-244.15		104.78   	   5.09		
 -3.66   	-84.53   	 91.41   	-274.67		104.80   	 -10.17		
 -5.19   	-54.02   	 90.32   	-295.01		104.76   	 -35.61		
 -6.10   	-28.08   	 89.13   	-315.36		104.62   	 -55.95		
 -7.93   	 -6.10   	 87.87   	-320.45		104.39   	 -71.21		
-10.07   	 13.12   	 86.59   	-325.53		104.11   	 -96.64		
-13.12   	 28.99   	 85.29   	-315.36		103.72   	-111.90		
-15.87   	 41.50   	 84.03   	-295.01		103.28   	-132.25		
-16.78   	 50.35   	 82.85   	-274.67		102.75   	-147.51		
-16.78   	 55.85   	 81.75   	-249.24		102.16   	-167.85		
-15.87   	 58.90   	 80.75   	-218.72		101.48   	-178.03		
-15.56   	 60.42   	 79.88   	-183.11		100.77   	-193.29		
-16.17   	 61.34   	 79.15   	-157.68		100.00   	-208.54		
-17.40   	 61.34   	 78.51   	-127.16		 99.17   	-213.63		
-18.62   	 60.73   	 78.01   	-111.90		 98.31   	-218.72		
-19.23   	 58.90   	 77.56   	 -91.56		 97.44   	-228.89		
-18.92   	 56.76   	 77.19   	 -76.30		 96.52   	-228.89		
-18.01   	 55.24   	 76.89   	 -66.12		 95.60   	-233.98		
-16.78   	 54.02   	 76.62   	 -55.95		 94.67   	-233.98		
-15.26   	 53.41   	 76.40   	 -55.95		 93.73   	-228.89		
-12.82   	 53.41   	 76.17   	 -50.86		 92.82   	-228.89		
-10.68   	 53.71   	 75.97   	 -45.78		 91.90   	-223.80		
 -9.16   	 54.32   	 75.79   	 -40.69		 91.01   	-223.80		
 -8.85   	 55.24   	 75.63   	 -40.69		 90.11   	-213.63		
 -9.46   	 56.15   	 75.46   	 -40.69		 89.26   	-218.72		
-10.38   	 57.07   	 75.30   	 -35.61		 88.38   	-208.54		
-11.29   	 57.98   	 75.16   	 -40.69		 87.55   	-203.46		
-11.60   	 57.98   	 74.99   	 -40.69		 86.73   	-203.46		
-10.99   	 56.46   	 74.83   	 -45.78		 85.92   	-198.37		
