  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
 -8.54   	-14.34   	170.70   	-330.62		169.05   	  30.52		
-12.21   	-24.11   	169.38   	-376.40		169.18(S)	   0.00		
-13.73   	-32.96   	167.87   	-427.26		169.18   	 -25.43		
-14.95   	-39.67   	166.16   	-483.21		169.07   	 -55.95		
-17.40   	-44.86   	164.23   	-539.16		168.85   	 -86.47		
-21.36   	-49.13   	162.07   	-605.29		168.50   	-111.90		
-25.33   	-52.80   	159.65   	-671.41		168.06   	-147.51		
-26.25   	-55.54   	156.97   	-742.62		167.47   	-178.03		
-22.58   	-56.46   	154.00   	-813.83		166.75   	-208.54		
-18.01   	-56.46   	150.74   	-895.22		165.92   	-244.15		
-15.56   	-56.76   	147.16   	-976.60		164.94   	-279.75		
-18.01   	-58.29   	143.25   	-1057.98		163.82   	-305.19		
-22.89   	-60.42   	139.02   	-1139.36		162.60   	-340.79		
-27.16   	-61.95   	134.47   	-1210.58		161.24   	-366.22		
-28.69   	-61.34   	129.62   	-1266.53		159.78   	-391.66		
-27.16   	-58.90   	124.56   	-1317.39		158.21   	-417.09		
-25.33   	-56.15   	119.29   	-1342.82		156.54   	-437.43		
-25.02   	-54.63   	113.92   	-1358.08		154.79   	-452.69		
-25.63   	-54.93   	108.48   	-1363.17		152.98   	-467.95		
-25.94   	-55.54   	103.03   	-1353.00		151.11   	-473.04		
-25.33   	-54.63   	 97.62   	-1327.56		149.22   	-473.04		
-24.72   	-50.66   	 92.31   	-1291.96		147.32   	-483.21		
-24.72   	-43.64   	 87.14   	-1241.09		145.39   	-478.13		
-25.94   	-34.18   	 82.18   	-1185.14		143.48   	-473.04		
-27.16   	-21.67   	 77.44   	-1134.28		141.59   	-467.95		
-26.55   	 -6.10   	 72.90   	-1083.41		139.71   	-457.78		
-23.80   	 11.60   	 68.57   	-1042.72		137.88   	-447.61		
-20.14   	 29.91   	 64.39   	-1002.03		136.09   	-437.43		
-16.78   	 46.39   	 60.39   	-961.34		134.34   	-422.18		
-14.34   	 58.59   	 56.54   	-925.73		132.65   	-412.00		
-12.21   	 65.00   	 52.84   	-879.96		131.01   	-396.74		
 -9.16   	 67.14   	 49.32   	-829.09		129.42   	-381.48		
 -5.80   	 68.36   	 46.00   	-778.23		127.89   	-371.31		
 -3.05   	 72.02   	 42.89   	-727.36		126.41   	-356.05		
 -3.36   	 77.51   	 39.98   	-686.67		124.98   	-340.79		
 -6.71   	 81.79   	 37.23   	-645.98		123.62   	-330.62		
-10.68   	 80.87   	 34.65   	-600.20		122.30   	-315.36		
-10.68   	 75.68   	 32.25   	-554.42		121.04   	-305.19		
 -4.58   	 72.63   	 30.03   	-503.56		119.82   	-289.93		
  6.71   	 78.43   	 28.02   	-452.69		118.66   	-279.75		
 18.31   	 93.99   	 26.21   	-396.74		117.54   	-269.58		
 24.72   	112.00   	 24.62   	-350.97		116.46   	-259.41		
 23.80   	122.99   	 23.21   	-305.19		115.42   	-249.24		
 17.40   	120.54   	 21.99   	-274.67		114.42   	-239.06		
  9.46   	105.59   	 20.90   	-239.06		113.47   	-223.80		
  1.53   	 80.57   	 19.94   	-218.72		112.57   	-218.72		
 -6.41   	 47.30   	 19.06   	-183.11		111.70   	-208.54		
-14.65   	  7.32   	 18.33   	-157.68		110.86   	-198.37		
-22.58   	-35.10   	 17.70   	-127.16		110.07   	-188.20		
-27.47   	-72.94   	 17.19   	 -96.64		109.32   	-178.03		
-28.38   	-97.96   	 16.81   	 -76.30		108.61   	-172.94		
-26.86   	-108.03   	 16.50   	 -55.95		107.91   	-162.77		
-25.33   	-108.03   	 16.28   	 -40.69		107.26   	-157.68		
-24.72   	-104.37   	 16.11   	 -30.52		106.63   	-147.51		
-24.41   	-103.15   	 15.99   	 -20.35		106.04   	-142.42		
-23.19   	-104.98   	 15.91   	 -10.17		105.47   	-137.33		
-21.36   	-108.95   	 15.87   	  -5.09		104.92   	-132.25		
-20.75   	-113.22   	 15.85(D)	   5.09		104.39   	-122.07		
-21.36   	-116.58   	 15.87   	  15.26		103.91   	-127.16		
