  I     	  LV     	  LV'		  AO     	  AO'		
-82.09   	 15.04   	  45.78		 91.90   	 -71.21		
-82.70   	 15.22   	  50.86		 91.62   	 -76.30		
-83.31   	 15.42   	  55.95		 91.31   	 -71.21		
-83.31   	 15.65   	  55.95		 91.03   	 -66.12		
-82.70   	 15.87   	  66.12		 90.76   	 -66.12		
-81.79   	 16.13   	  71.21		 90.50   	 -61.04		
-81.48   	 16.42   	  71.21		 90.25   	 -55.95		
-82.09   	 16.70   	  61.04		 90.03   	 -55.95		
-82.70   	 16.95   	  55.95		 89.81   	 -50.86		
-83.01   	 17.17   	  35.61		 89.60   	 -50.86		
-82.40   	 17.31   	  25.43		 89.40   	 -45.78		
-80.87   	 17.42   	  10.17		 89.22   	 -50.86		
-79.35   	 17.46   	   0.00		 89.01   	 -45.78		
-77.82   	 17.46   	 -10.17		 88.83   	 -50.86		
-75.99   	 17.42   	 -10.17		 88.63   	 -55.95		
-72.02   	 17.38   	  -5.09		 88.40   	 -55.95		
-65.31   	 17.35   	 -10.17		 88.18   	 -61.04		
-55.85   	 17.31   	   0.00		 87.93   	 -61.04		
-47.00   	 17.31   	   5.09		 87.69   	 -61.04		
-41.20   	 17.33   	  10.17		 87.45   	 -66.12		
-39.06   	 17.38   	  15.26		 87.18   	 -66.12		
-38.15   	 17.44   	  20.35		 86.92   	 -61.04		
-35.71   	 17.52   	  20.35		 86.67   	 -66.12		
-28.99   	 17.60   	  25.43		 86.41   	 -61.04		
-18.92   	 17.70   	  25.43		 86.16   	 -55.95		
 -7.93   	 17.80   	  30.52		 85.94   	 -61.04		
  1.22   	 17.92   	  30.52		 85.70   	 -50.86		
  7.02   	 18.05   	  25.43		 85.49   	 -55.95		
 10.38   	 18.15   	  30.52		 85.27   	 -50.86		
 11.90   	 18.27   	  30.52		 85.07   	 -45.78		
 12.21   	 18.39   	  30.52		 84.88   	 -45.78		
 11.29   	 18.51   	  25.43		 84.70   	 -45.78		
  7.63   	 18.62   	  25.43		 84.52   	 -45.78		
  0.00   	 18.72   	  20.35		 84.33   	 -45.78		
