  I     	  II     	  LVp     	  LVp'		
 77.51   	137.94   	  0.59   	  -5.09		
 58.59   	113.83   	  0.57   	  -5.09		
 36.93   	 83.92   	  0.55   	   0.00		
 16.48   	 53.10   	  0.55   	   0.00		
  0.92   	 26.86   	  0.55   	   0.00		
 -9.16   	  5.49   	  0.55   	   0.00		
-17.70   	-14.65   	  0.55   	   5.09		
-28.69   	-36.01   	  0.57   	   5.09		
-43.03   	-56.15   	  0.59   	  10.17		
-57.98   	-70.19   	  0.63   	  15.26		
-69.58   	-75.07   	  0.69   	  20.35		
-75.68   	-74.77   	  0.77   	  25.43		
-77.21   	-75.07   	  0.87   	  30.52		
-76.60   	-80.26   	  1.00   	  40.69		
-75.38   	-90.03   	  1.16   	  40.69		
-74.77   	-100.40   	  1.32   	  45.78		
-75.38   	-108.34   	  1.51   	  45.78		
-77.51   	-112.00   	  1.69   	  45.78		
-80.87   	-111.69   	  1.87   	  40.69		
-85.14   	-110.47   	  2.03   	  40.69		
-88.81   	-110.78   	  2.20   	  30.52		
-90.64   	-112.61   	  2.32   	  25.43		
-90.33   	-114.75   	  2.42   	  15.26		
-88.50   	-115.66   	  2.48   	   0.00		
-87.59   	-114.14   	  2.48   	 -10.17		
-88.50   	-113.53   	  2.44   	 -20.35		
-90.33   	-115.97   	  2.36   	 -35.61		
-89.11   	-120.54   	  2.22   	 -50.86		
-83.31   	-122.68   	  2.01   	 -66.12		
-73.85   	-117.19   	  1.75   	 -81.38		
-63.17   	-104.06   	  1.42   	 -96.64		
-54.63   	-89.72   	  1.04   	-106.82		
-49.74   	-83.01   	  0.61   	-122.07		
-47.61   	-88.50   	  0.12   	-127.16		
-48.52   	-103.15   	 -0.39   	-132.25		
-51.88   	-117.80   	 -0.92   	-132.25		
-55.85   	-123.29   	 -1.44   	-127.16		
-57.07   	-118.41   	 -1.95   	-111.90		
-54.93   	-109.25   	 -2.40   	 -91.56		
-50.96   	-104.68   	 -2.77   	 -71.21		
