  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
-92.16   	-64.09   	 83.26   	 427.26		 51.88   	 773.14		
-82.70   	-56.76   	 84.96   	 457.78		 54.97   	 885.04		
-70.80   	-45.17   	 86.80   	 478.13		 58.51   	 890.13		
-62.87   	-35.40   	 88.71   	 493.39		 62.08   	 849.44		
-65.00   	-34.18   	 90.68   	 498.47		 65.47   	 824.00		
-74.16   	-40.59   	 92.68   	 503.56		 68.77   	 839.26		
-82.70   	-48.83   	 94.69   	 493.39		 72.13   	 864.70		
-83.92   	-51.27   	 96.66   	 498.47		 75.58   	 849.44		
-78.13   	-46.39   	 98.66   	 493.39		 78.98   	 829.09		
-70.19   	-36.32   	100.63   	 503.56		 82.30   	 839.26		
-64.70   	-26.55   	102.64   	 508.65		 85.66   	 844.35		
-62.56   	-18.92   	104.68   	 508.65		 89.03   	 793.49		
-61.04   	-13.12   	106.71   	 508.65		 92.21   	 778.23		
-57.68   	 -7.63   	108.75   	 503.56		 95.32   	 768.05		
-52.19   	 -2.44   	110.76   	 483.21		 98.39   	 793.49		
-44.86   	  4.58   	112.70   	 462.87		101.57   	 768.05		
-33.57   	 16.17   	114.55   	 442.52		104.64   	 737.54		
-17.70   	 35.71   	116.32   	 417.09		107.59   	 645.98		
  1.22   	 61.34   	117.99   	 396.74		110.17   	 523.90		
 18.31   	 87.89   	119.57   	 376.40		112.27   	 391.66		
 28.38   	108.64   	121.08   	 371.31		113.83   	 305.19		
 30.21   	120.54   	122.56   	 371.31		115.06   	 305.19		
 29.60   	127.87   	124.05   	 366.22		116.28   	 289.93		
 34.18   	137.33   	125.51   	 361.14		117.44   	 264.50		
 47.30   	151.67   	126.96   	 350.97		118.49   	 345.88		
 65.00   	167.85   	128.36   	 340.79		119.88   	 508.65		
 79.04   	180.05   	129.72   	 310.27		121.91   	 773.14		
 84.53   	186.46   	130.97   	 279.75		125.00   	1027.46		
