  I     	  II     	  AO     	  AO'		  FA     	  FA'		
107.73   	146.48   	116.42   	 142.42		121.14   	 249.24		
109.56   	151.67   	116.99   	  30.52		122.14   	 167.85		
108.64   	155.94   	117.11   	  55.95		122.81   	  35.61		
106.20   	159.00   	117.33   	 142.42		122.95   	  61.04		
102.23   	161.13   	117.90   	  96.64		123.19   	 127.16		
 97.96   	162.05   	118.29   	  50.86		123.70   	  61.04		
 93.38   	160.22   	118.49   	  66.12		123.95   	  45.78		
 87.89   	154.11   	118.76   	 -30.52		124.13   	  20.35		
 80.87   	143.43   	118.64   	-162.77		124.21   	 -15.26		
 72.02   	128.78   	117.99   	-167.85		124.15   	  20.35		
 61.34   	111.69   	117.31   	 -15.26		124.23   	 -55.95		
 48.83   	 93.08   	117.25   	  91.56		124.01   	   5.09		
 35.40   	 72.94   	117.62   	 178.03		124.03   	 106.82		
 22.58   	 51.88   	118.33   	 330.62		124.46   	 -10.17		
 10.68   	 30.82   	119.65   	 361.14		124.41   	  66.12		
 -0.31   	 11.29   	121.10   	 320.45		124.68   	  96.64		
-10.38   	 -5.19   	122.38   	 269.58		125.07(S)	 -30.52		
-19.84   	-18.31   	123.46   	  15.26		124.94   	 -10.17		
-28.69   	-28.38   	123.52(S)	-274.67		124.90   	   5.09		
-36.32   	-36.62   	122.42   	-305.19		124.92   	 -76.30		
-41.50   	-43.33   	121.20   	-264.50		124.62   	 -71.21		
-45.17   	-48.22   	120.14   	-350.97		124.33   	 -50.86		
-47.61   	-51.57   	118.74   	-462.87		124.13   	-142.42		
-49.74   	-54.02   	116.89   	-467.95		123.56   	-167.85		
-52.49   	-56.15   	115.01   	-473.04		122.89   	-142.42		
-55.85   	-58.29   	113.12   	-569.68		122.32   	-228.89		
-58.59   	-61.04   	110.84   	-651.07		121.40   	-315.36		
-61.34   	-63.48   	108.24   	-681.58		120.14   	-330.62		
-63.48   	-65.61   	105.51   	-747.71		118.82   	-361.14		
-65.31   	-66.53   	102.52   	-824.00		117.37   	-437.43		
-66.53   	-66.22   	 99.23   	-676.50		115.63   	-579.86		
-66.83   	-64.70   	 96.52   	-249.24		113.31   	-625.63		
-66.83   	-63.48   	 95.52   	 137.33		110.80   	-544.25		
-66.83   	-62.56   	 96.07   	 391.66		108.63   	-437.43		
-66.83   	-62.26   	 97.64   	 615.46		106.88   	-300.10		
-67.44   	-62.26   	100.10   	 757.88		105.68   	-142.42		
-67.75   	-62.26   	103.13   	 717.19		105.11   	 -20.35		
-67.44   	-61.65   	106.00   	 605.29		105.03   	 -20.35		
-65.92   	-60.42   	108.42   	 508.65		104.94   	  30.52		
-63.17   	-59.20   	110.46   	 345.88		105.07   	 152.59		
-59.81   	-58.59   	111.84   	 116.99		105.68   	  91.56		
-57.37   	-58.59   	112.31   	 -91.56		106.04   	  20.35		
-55.85   	-58.59   	111.94   	-295.01		106.12   	  66.12		
-54.93   	-58.29   	110.76   	-488.30		106.39   	 -15.26		
-54.32   	-57.68   	108.81   	-620.55		106.33   	-106.82		
-52.49   	-57.07   	106.33   	-645.98		105.90   	 -76.30		
-50.05   	-56.46   	103.74   	-574.77		105.59   	 -81.38		
-47.61   	-56.76   	101.44   	-422.18		105.27   	 -76.30		
-46.08   	-57.68   	 99.76   	-244.15		104.96   	 -40.69		
-45.78   	-58.59   	 98.78   	 -45.78		104.80   	 -55.95		
-45.78   	-59.51   	 98.60   	 127.16		104.58   	 -61.04		
-45.47   	-59.81   	 99.10   	 228.89		104.33   	 -61.04		
-44.25   	-59.51   	100.02   	 259.41		104.09   	 -91.56		
-42.42   	-59.20   	101.06   	 228.89		103.72   	-116.99		
-40.59   	-59.20   	101.97   	 162.77		103.25   	-111.90		
-39.98   	-59.81   	102.62   	  50.86		102.81   	-101.73		
-39.98   	-60.42   	102.83   	 -86.47		102.40   	-132.25		
-39.98   	-60.73   	102.48   	-193.29		101.87   	-147.51		
-39.67   	-61.04   	101.71   	-269.58		101.28   	-116.99		
-39.06   	-60.73   	100.63   	-305.19		100.81   	-106.82		
-38.45   	-60.73   	 99.41   	-305.19		100.39   	-106.82		
-39.06   	-61.34   	 98.19   	-259.41		 99.96   	-106.82		
-40.28   	-62.87   	 97.15   	-183.11		 99.53   	 -81.38		
